mode,sex,intercept,distance,predspeed
car,male,1,8.617716308180151,23.45132598558637
car,female,1,8.617716308180151,23.63996869789052
public transport,male,1,8.169415940859997,13.026625511987904
public transport,female,1,8.169415940859997,12.673531356815742
walk,male,1,0.6868944463418852,2.8119773134638923
walk,female,1,0.6868944463418852,2.828872893983034
